time,status,type,package
2024-06-06 11:48:01,walk,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:48:01,walk,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:48:02,walk,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:48:03,walk,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:48:03,walk,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:48:03,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:48:04,walk,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:48:08,walk,NOTIFICATION_SEEN,com.mathworks.matlabmobile
2024-06-06 11:48:08,walk,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 11:48:19,walk,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:48:19,walk,ACTIVITY_RESUMED,com.miui.home
2024-06-06 11:48:19,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:48:19,walk,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:48:31,walk,SCREEN_NON_INTERACTIVE,android
2024-06-06 11:48:31,walk,ACTIVITY_PAUSED,com.miui.home
2024-06-06 11:48:31,walk,ACTIVITY_STOPPED,com.miui.home
2024-06-06 11:48:31,walk,KEYGUARD_SHOWN,android
2024-06-06 11:49:08,walk,ACTIVITY_RESUMED,com.miui.home
2024-06-06 11:49:08,walk,SCREEN_INTERACTIVE,android
2024-06-06 11:49:08,walk,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 11:49:08,walk,KEYGUARD_HIDDEN,android
2024-06-06 11:49:11,walk,ACTIVITY_PAUSED,com.miui.home
2024-06-06 11:49:11,walk,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:49:11,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:49:11,walk,ACTIVITY_STOPPED,com.miui.home
2024-06-06 11:49:13,walk,SCREEN_NON_INTERACTIVE,android
2024-06-06 11:49:13,walk,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:49:13,walk,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:49:13,walk,KEYGUARD_SHOWN,android
2024-06-06 11:49:13,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:49:15,walk,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:49:15,walk,SCREEN_INTERACTIVE,android
2024-06-06 11:49:15,walk,KEYGUARD_HIDDEN,android
2024-06-06 11:49:15,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:49:16,walk,SCREEN_NON_INTERACTIVE,android
2024-06-06 11:49:16,walk,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:49:16,walk,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:49:16,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:49:16,walk,KEYGUARD_SHOWN,android
2024-06-06 11:50:10,walk,NOTIFICATION_INTERRUPTION,com.shixiseng.activity
2024-06-06 11:50:29,walk,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:50:29,walk,SCREEN_INTERACTIVE,android
2024-06-06 11:50:29,walk,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 11:50:29,walk,NOTIFICATION_SEEN,com.shixiseng.activity
2024-06-06 11:50:29,walk,KEYGUARD_HIDDEN,android
2024-06-06 11:50:29,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:50:35,walk,SCREEN_NON_INTERACTIVE,android
2024-06-06 11:50:35,walk,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:50:35,walk,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:50:35,walk,KEYGUARD_SHOWN,android
2024-06-06 11:50:35,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:52:17,walk,NOTIFICATION_INTERRUPTION,android
2024-06-06 11:52:50,walk,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:52:50,walk,SCREEN_INTERACTIVE,android
2024-06-06 11:52:50,walk,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 11:52:50,walk,KEYGUARD_HIDDEN,android
2024-06-06 11:52:50,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:54:19,walk,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 11:54:21,walk,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:54:21,walk,ACTIVITY_RESUMED,com.android.deskclock
2024-06-06 11:54:22,walk,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:54:22,walk,CONFIGURATION_CHANGE,android
2024-06-06 11:59:00,bike,ACTIVITY_PAUSED,com.miui.home
2024-06-06 11:59:00,bike,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:59:01,bike,ACTIVITY_STOPPED,com.miui.home
2024-06-06 11:59:05,bike,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:59:05,bike,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 11:59:05,bike,CONFIGURATION_CHANGE,android
2024-06-06 11:59:06,bike,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:59:16,bike,SCREEN_NON_INTERACTIVE,android
2024-06-06 11:59:16,bike,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 11:59:16,bike,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 11:59:16,bike,CONFIGURATION_CHANGE,android
2024-06-06 11:59:16,bike,KEYGUARD_SHOWN,android
2024-06-06 12:00:47,bike,SCREEN_INTERACTIVE,android
2024-06-06 12:00:47,bike,NOTIFICATION_SEEN,com.mathworks.matlabmobile
2024-06-06 12:00:47,bike,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:00:48,bike,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:00:48,bike,KEYGUARD_HIDDEN,android
2024-06-06 12:00:48,bike,CONFIGURATION_CHANGE,android
2024-06-06 12:01:06,bike,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:01:06,bike,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:01:06,bike,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:01:06,bike,KEYGUARD_SHOWN,android
2024-06-06 12:01:06,bike,CONFIGURATION_CHANGE,android
2024-06-06 12:01:26,bike,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:01:26,bike,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:01:26,bike,SCREEN_INTERACTIVE,android
2024-06-06 12:01:27,bike,KEYGUARD_HIDDEN,android
2024-06-06 12:01:27,bike,CONFIGURATION_CHANGE,android
2024-06-06 12:01:28,bike,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:01:28,bike,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:01:28,bike,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:01:28,bike,KEYGUARD_SHOWN,android
2024-06-06 12:01:28,bike,CONFIGURATION_CHANGE,android
2024-06-06 12:04:25,bike,SCREEN_INTERACTIVE,android
2024-06-06 12:04:25,bike,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:04:26,bike,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:04:27,bike,KEYGUARD_HIDDEN,android
2024-06-06 12:04:27,bike,CONFIGURATION_CHANGE,android
2024-06-06 12:04:27,bike,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:04:28,bike,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:04:28,bike,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:04:28,bike,CONFIGURATION_CHANGE,android
2024-06-06 12:04:28,bike,KEYGUARD_SHOWN,android
2024-06-06 12:08:32,run,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:08:32,run,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:08:32,run,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:08:32,run,CONFIGURATION_CHANGE,android
2024-06-06 12:08:32,run,KEYGUARD_SHOWN,android
2024-06-06 12:09:08,run,SCREEN_INTERACTIVE,android
2024-06-06 12:09:08,run,NOTIFICATION_SEEN,com.mathworks.matlabmobile
2024-06-06 12:09:08,run,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:09:09,run,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:09:09,run,KEYGUARD_HIDDEN,android
2024-06-06 12:09:09,run,CONFIGURATION_CHANGE,android
2024-06-06 12:09:18,run,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:09:18,run,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:09:18,run,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:09:18,run,KEYGUARD_SHOWN,android
2024-06-06 12:09:18,run,CONFIGURATION_CHANGE,android
2024-06-06 12:12:00,sit,NOTIFICATION_SEEN,com.amazon.mShop.android.shopping
2024-06-06 12:12:00,sit,STANDBY_BUCKET_CHANGED,com.amazon.mShop.android.shopping
2024-06-06 12:12:02,sit,FOREGROUND_SERVICE_START,com.mathworks.matlabmobile
2024-06-06 12:12:02,sit,FOREGROUND_SERVICE_START,com.mathworks.matlabmobile
2024-06-06 12:12:02,sit,NOTIFICATION_INTERRUPTION,com.mathworks.matlabmobile
2024-06-06 12:12:04,sit,ACTIVITY_PAUSED,com.mathworks.matlabmobile
2024-06-06 12:12:04,sit,ACTIVITY_RESUMED,com.miui.home
2024-06-06 12:12:04,sit,ACTIVITY_STOPPED,com.mathworks.matlabmobile
2024-06-06 12:12:05,sit,ACTIVITY_PAUSED,com.miui.home
2024-06-06 12:12:05,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:12:06,sit,ACTIVITY_STOPPED,com.miui.home
2024-06-06 12:12:13,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:12:13,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:12:13,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:12:14,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:12:22,sit,NOTIFICATION_SEEN,com.mathworks.matlabmobile
2024-06-06 12:12:22,sit,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:12:34,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:12:34,sit,ACTIVITY_RESUMED,com.miui.home
2024-06-06 12:12:34,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:12:34,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:12:40,sit,ACTIVITY_PAUSED,com.miui.home
2024-06-06 12:12:40,sit,ACTIVITY_RESUMED,com.tencent.mm
2024-06-06 12:12:40,sit,ACTIVITY_STOPPED,com.miui.home
2024-06-06 12:12:52,sit,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:12:52,sit,ACTIVITY_PAUSED,com.tencent.mm
2024-06-06 12:12:52,sit,ACTIVITY_STOPPED,com.tencent.mm
2024-06-06 12:12:52,sit,KEYGUARD_SHOWN,android
2024-06-06 12:13:24,sit,SCREEN_INTERACTIVE,android
2024-06-06 12:13:24,sit,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:13:25,sit,ACTIVITY_RESUMED,com.tencent.mm
2024-06-06 12:13:25,sit,KEYGUARD_HIDDEN,android
2024-06-06 12:13:27,sit,ACTIVITY_PAUSED,com.tencent.mm
2024-06-06 12:13:27,sit,ACTIVITY_RESUMED,com.miui.home
2024-06-06 12:13:27,sit,ACTIVITY_PAUSED,com.miui.home
2024-06-06 12:13:27,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:13:27,sit,ACTIVITY_STOPPED,com.tencent.mm
2024-06-06 12:13:27,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:13:27,sit,ACTIVITY_STOPPED,com.miui.home
2024-06-06 12:13:28,sit,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:13:28,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:13:29,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:13:29,sit,KEYGUARD_SHOWN,android
2024-06-06 12:13:29,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:14:06,sit,NOTIFICATION_INTERRUPTION,com.tencent.mm
2024-06-06 12:14:44,sit,SCREEN_INTERACTIVE,android
2024-06-06 12:14:44,sit,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:14:44,sit,NOTIFICATION_SEEN,com.tencent.mm
2024-06-06 12:14:44,sit,NOTIFICATION_INTERRUPTION,com.tencent.mm
2024-06-06 12:14:45,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:14:45,sit,KEYGUARD_HIDDEN,android
2024-06-06 12:14:45,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:14:54,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:14:54,sit,ACTIVITY_RESUMED,com.android.deskclock
2024-06-06 12:14:55,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:14:55,sit,CONFIGURATION_CHANGE,android
